close,open,Thigh,low,volumn,datetime
77.46004,77.46004,77.54262,77.46004,1900,2021-12-31 04:05:00+00:00
77.46004,77.46004,77.54262,77.46004,3800,2021-12-31 04:06:00+00:00
77.54262,77.46004,77.54262,77.46004,1600,2021-12-31 04:07:00+00:00
77.37746,77.46004,77.46004,77.37746,1200,2021-12-31 04:08:00+00:00
77.37746,77.37746,77.54262,77.37746,2300,2021-12-31 04:09:00+00:00
77.6252,77.54262,77.6252,77.54262,4000,2021-12-31 04:10:00+00:00
77.37746,77.37746,77.46004,77.37746,1500,2021-12-31 04:11:00+00:00
77.37746,77.37746,77.37746,77.37746,1300,2021-12-31 04:12:00+00:00
77.37746,77.37746,77.37746,77.37746,500,2021-12-31 04:13:00+00:00
77.46004,77.37746,77.46004,77.37746,3400,2021-12-31 04:14:00+00:00
77.37746,77.37746,77.37746,77.37746,700,2021-12-31 04:15:00+00:00
77.37746,77.46004,77.46004,77.37746,1600,2021-12-31 04:16:00+00:00
77.37746,77.37746,77.37746,77.37746,1200,2021-12-31 04:17:00+00:00
77.37746,77.37746,77.37746,77.37746,1000,2021-12-31 04:18:00+00:00
77.46004,77.37746,77.46004,77.37746,1500,2021-12-31 04:19:00+00:00
77.37746,77.46004,77.46004,77.37746,2800,2021-12-31 04:20:00+00:00
77.6252,77.46004,77.6252,77.37746,4000,2021-12-31 04:21:00+00:00
77.37746,77.46004,77.46004,77.37746,1100,2021-12-31 04:22:00+00:00
77.37746,77.37746,77.37746,77.37746,1600,2021-12-31 04:23:00+00:00
77.37746,77.54262,77.6252,77.37746,2800,2021-12-31 04:24:00+00:00
77.37746,77.37746,77.37746,77.37746,1300,2021-12-31 04:25:00+00:00
77.37746,77.37746,77.37746,77.37746,1100,2021-12-31 04:26:00+00:00
77.29488,77.37746,77.37746,77.29488,1200,2021-12-31 04:27:00+00:00
77.6252,77.29488,77.6252,77.29488,1100,2021-12-31 04:28:00+00:00
77.29488,77.29488,77.29488,77.29488,3600,2021-12-31 04:29:00+00:00
77.29488,77.6252,77.6252,77.29488,8600,2021-12-31 06:00:00+00:00
77.29488,77.37746,77.37746,77.29488,1600,2021-12-31 06:01:00+00:00
77.29488,77.29488,77.29488,77.29488,1200,2021-12-31 06:02:00+00:00
77.37746,77.37746,77.37746,77.37746,1000,2021-12-31 06:03:00+00:00
77.46004,77.37746,77.46004,77.37746,2300,2021-12-31 06:04:00+00:00
77.46004,77.46004,77.46004,77.37746,1400,2021-12-31 06:05:00+00:00
77.46004,77.37746,77.46004,77.37746,1300,2021-12-31 06:06:00+00:00
77.46004,77.37746,77.46004,77.37746,4800,2021-12-31 06:07:00+00:00
77.46004,77.46004,77.46004,77.46004,500,2021-12-31 06:08:00+00:00
77.37746,77.46004,77.46004,77.37746,5500,2021-12-31 06:09:00+00:00
77.46004,77.46004,77.46004,77.46004,2700,2021-12-31 06:10:00+00:00
77.46004,77.46004,77.46004,77.46004,3500,2021-12-31 06:11:00+00:00
77.46004,77.46004,77.46004,77.46004,1100,2021-12-31 06:12:00+00:00
77.37746,77.46004,77.46004,77.37746,4100,2021-12-31 06:13:00+00:00
77.37746,77.37746,77.37746,77.37746,1600,2021-12-31 06:14:00+00:00
77.37746,77.37746,77.54262,77.37746,1700,2021-12-31 06:15:00+00:00
77.6252,77.46004,77.6252,77.37746,3600,2021-12-31 06:16:00+00:00
77.37746,77.54262,77.6252,77.37746,3100,2021-12-31 06:17:00+00:00
77.37746,77.37746,77.37746,77.37746,1500,2021-12-31 06:18:00+00:00
